"Position (bp)","SRR7821918_1","SRR7821918_1_cleaned","SRR7821918_2","SRR7821918_2_cleaned","SRR7821919_1","SRR7821919_1_cleaned","SRR7821919_2","SRR7821919_2_cleaned","SRR7821920_1","SRR7821920_1_cleaned","SRR7821920_2","SRR7821920_2_cleaned","SRR7821921_1","SRR7821921_1_cleaned","SRR7821921_2","SRR7821921_2_cleaned","SRR7821922_1","SRR7821922_1_cleaned","SRR7821922_2","SRR7821922_2_cleaned","SRR7821937_1","SRR7821937_1_cleaned","SRR7821937_2","SRR7821937_2_cleaned","SRR7821938_1","SRR7821938_1_cleaned","SRR7821938_2","SRR7821938_2_cleaned","SRR7821939_1","SRR7821939_1_cleaned","SRR7821939_2","SRR7821939_2_cleaned","SRR7821949_1","SRR7821949_1_cleaned","SRR7821949_2","SRR7821949_2_cleaned","SRR7821950_1","SRR7821950_1_cleaned","SRR7821950_2","SRR7821950_2_cleaned","SRR7821951_1","SRR7821951_1_cleaned","SRR7821951_2","SRR7821951_2_cleaned","SRR7821952_1","SRR7821952_1_cleaned","SRR7821952_2","SRR7821952_2_cleaned","SRR7821953_1","SRR7821953_1_cleaned","SRR7821953_2","SRR7821953_2_cleaned","SRR7821968_1","SRR7821968_1_cleaned","SRR7821968_2","SRR7821968_2_cleaned","SRR7821969_1","SRR7821969_1_cleaned","SRR7821969_2","SRR7821969_2_cleaned","SRR7821970_1","SRR7821970_1_cleaned","SRR7821970_2","SRR7821970_2_cleaned"
18,40.16259088320875,40.127842033517005,38.98465590056706,39.027176594465125,40.11901442437404,40.09588979057881,38.80033979826126,38.88122965404242,40.15187031457194,40.09691759082837,38.77304447331736,38.77222011994738,40.10956882762959,40.09841530856836,38.78779373951538,38.898603947074115,40.1062205331323,40.09482566325897,38.81539805920897,38.91947414017649,40.144104204389656,40.070989284278085,39.15478229100847,39.07109897693923,40.113019242014545,40.02209783912883,38.978017757678245,38.89607742655299,40.18322564179623,40.114820778233685,39.23958229273129,39.16465094266724,40.168383806438975,40.03221436979595,38.95569006284287,38.71604299132942,40.14273072529893,40.024577585754315,38.77219541228396,38.55522727304141,40.16801644153365,40.099113843497875,38.8600922391489,38.753912109971296,40.15037416141587,40.0881690720702,38.92971876255717,38.87391625815949,40.15293798198411,40.058749120567086,39.07526698651702,38.91675479582297,40.18972974344749,39.69125466489359,39.55657400198844,38.57356649228322,40.13207516982891,39.79615466309776,39.02341809814544,38.2212883803175,40.204784644521396,39.72109987005037,39.574934337667656,38.6753108144087
20,40.12919102790185,40.09286377434265,38.90497409284654,38.94038850375789,40.09407563402929,40.07042456717933,38.704136218924674,38.77964554528867,40.11850380286579,40.061383527521585,38.66467109554634,38.658470979980905,40.080144694739715,40.068344053961326,38.698730805940606,38.80542074308338,40.08435509343899,40.07263479336275,38.719019899442685,38.81894910384837,40.12337951700267,40.04796296518407,39.08336679370579,38.99221700007027,40.10224444627913,40.0076733647802,38.89970542853307,38.809830544455004,40.16150092273228,40.09041814206306,39.1642520630608,39.081578199902246,40.13461684865891,39.99356340633325,38.82342435136712,38.53893115586434,40.119088138690486,39.99653950642583,38.587807381428064,38.33878049035698,40.137285477460196,40.065194202521155,38.69335967062092,38.56080498822752,40.12303333746215,40.058433470150675,38.77746604981665,38.70353421560229,40.13067028304903,40.03302647708237,38.93212172606448,38.75555341993142,40.16223638514919,39.639051242940226,39.55168415176682,38.554171626293396,40.11200753648954,39.76184965134779,38.96918813035796,38.147123193830865,40.172974300940126,39.66289228985795,39.5805635842692,38.66375303620806
22,40.12113459229502,40.08443261287742,38.76965071228935,38.79569632923747,40.09167480067074,40.06808941484755,38.55913368598782,38.62516064819095,40.10135090842522,40.04511014026359,38.49512447492205,38.4851035923798,40.07504169215561,40.06351928314086,38.55264696410947,38.651345936576874,40.08423580760221,40.07230957110572,38.57376327165899,38.66630150456399,40.05338869518228,39.96402747709413,38.91019478894276,38.79439064668243,40.03745178834711,39.92790294967582,38.71035816908045,38.591630814531285,40.08678309974273,40.0022567589111,38.992713489031274,38.888354195169214,40.12280804350956,39.978192752697225,38.64669345836049,38.33735564704385,40.110670585361405,39.98672352626237,38.39940879924817,38.121127405927226,40.12053736062257,40.04766566155756,38.50733729464386,38.357219860169074,40.113173442732474,40.0480742096659,38.61101132785946,38.5198276159051,40.126755081417315,40.028939393494525,38.76833821489147,38.57558873684569,40.155181034239334,39.62683725192738,39.42645188838984,38.368076381545706,40.106987384562615,39.75542177484756,38.80628108541921,37.95243297279829,40.16504086197506,39.64876752860729,39.44813447711663,38.47197334956796
24,40.091754741122834,40.05383548627876,38.545754124117565,38.534636691213585,40.06598100719006,40.04164675313038,38.329110706289505,38.363340479245814,40.070391790004685,40.01291797394005,38.27469500503378,38.20786759260457,40.04836211218708,40.03620123054941,38.314114314648364,38.38589456330596,40.05984930686357,40.047882725383495,38.3486071937667,38.41595392226077,40.08026162435175,40.000164294791595,38.912775008667836,38.80080899413072,40.067038326519636,39.96844263906337,38.719776726934036,38.605442586188325,40.1109549721767,40.035307366818174,39.003778610038125,38.903017584017135,40.08276499181212,39.927911490872276,38.66970177368678,38.36137750737272,40.073273803123826,39.93995030457765,38.41630713557241,38.146376786785396,40.081025787444844,40.00160381531937,38.52625042108741,38.37938249505272,40.07497324804367,40.004540655921026,38.614511269282026,38.527704518227054,40.09107026246723,39.98533365880847,38.78871548054546,38.59834103625127,40.120571561165704,39.556574277466154,39.462585185984054,38.422020037423486,40.07266118569914,39.699157711145105,38.83263977507274,37.97531442183649,40.128640990864,39.57811957891234,39.49672493697767,38.539605664631026
26,40.01762232264771,39.97624449758067,38.70340261509959,38.732778959712434,39.99058906890167,39.96431129262777,38.48261819963224,38.55305697898798,39.99337690165487,39.92918561057477,38.42814374544821,38.41458901438919,39.96986821642712,39.95775137006471,38.45793044958156,38.55988103880826,39.983196079761,39.97072454941686,38.50663179169076,38.6026510671885,40.01120316993331,39.923878525711615,38.77270669224606,38.645388460409606,39.998831451124644,39.89163289963922,38.595784619094516,38.46099384060021,40.04460614324975,39.96213193967624,38.874716022045355,38.76184460184241,40.00715017587844,39.83505773299947,38.62671376538326,38.313334313085235,39.99676493994869,39.848780866815005,38.38424589344575,38.11046216348872,40.00466693464196,39.9166399288482,38.48963031482384,38.34017408300048,39.99759403398153,39.919622277397295,38.56478558983941,38.47449988048572,40.01219994638893,39.89410321934996,38.752214223125705,38.55675769141129,40.047990521096935,39.40919689014365,39.41016782232282,38.331704792706745,40.000486313288384,39.58361854541913,38.776770791677386,37.88238358207627,40.05746503011338,39.43181049503349,39.44549370342469,38.452422668158704
28,39.99455436526536,39.95310650368508,38.679671821555935,38.710990106107005,39.96924705716611,39.9436465312953,38.45618880446868,38.527432746841285,39.965033065532836,39.90178409147313,38.39890146213355,38.39214470300946,39.94525438620002,39.933748407565204,38.439401841234385,38.543180503084216,39.96102519783787,39.94954951600123,38.48724349073366,38.58519968470607,39.95202766292149,39.85147858912709,38.74490142909602,38.625111234630396,39.93930754052599,39.8179322331874,38.57651737766473,38.45368460370975,39.984285991050484,39.88923476288911,38.85649878633279,38.74811182340281,39.96479779458248,39.780492413488886,38.62029766663104,38.318074444802406,39.95611217856003,39.79785150900457,38.37902365387842,38.113063012392374,39.9615509350916,39.86573643086438,38.49051219456413,38.34971289472581,39.95562427614179,39.8716081030105,38.574300969126405,38.48777418158829,39.972345514433556,39.84507014452029,38.758682878812124,38.5708067164786,40.01858625295854,39.3374517355267,39.352228193075334,38.267546249975254,39.96592739830005,39.52377617718159,38.72389891391005,37.830542522398034,40.027734006818136,39.360693274879566,39.383949075824475,38.39633299516629
30,39.96337942025138,39.919419015533045,38.73695274603237,38.7719084731788,39.9374428669924,39.90998357698496,38.52540613386859,38.60051294498744,39.93360283289297,39.86764736959955,38.47929716056173,38.46431429160676,39.91379943589952,39.90062523114166,38.512454940249455,38.619512065393195,39.93232710304322,39.919009362420304,38.553436808728776,38.65432291595204,39.935638151967865,39.83810249593681,38.78556274999053,38.66689050542388,39.926629029812034,39.80927061083807,38.60029115583443,38.477350415331074,39.9700704490392,39.87800938727547,38.887575127585976,38.7838158884204,39.962731488427565,39.77958345613803,38.68522961635809,38.3841700287541,39.95463412044633,39.798925288740584,38.4659937539617,38.20447840991305,39.95998934003522,39.86601281434267,38.55338686226679,38.41420862809839,39.95582468980431,39.873049725303744,38.64838566577005,38.563375424933355,39.97694790343652,39.85166295789603,38.814786604686674,38.628498245932974,40.01478251621477,39.34981967205378,39.379377325700396,38.275329830624585,39.9618212362339,39.527403397579164,38.73289171661135,37.83232994142804,40.02397625847435,39.37222162622079,39.403086714978805,38.396558903817834
32,39.93827283029937,39.89395494553622,38.71694856989951,38.743769596593935,39.91208892964664,39.884402251614134,38.50451994604412,38.57394727782216,39.91309031244453,39.84390048955039,38.468082796351325,38.4396267634851,39.888024795451244,39.875181883513605,38.481712998729236,38.5828478375018,39.90944261278037,39.89676253608715,38.53146172888225,38.627091427103906,39.85234201106118,39.74405873710245,38.78615496571869,38.66354792005267,39.84842085306105,39.71936213894226,38.59544577615077,38.469079202944926,39.885394860867635,39.782220817475675,38.90233162740448,38.790149891445665,39.953566962432845,39.772097872155655,38.79414776418769,38.499949425379825,39.945954133636604,39.789804239587156,38.583821078264876,38.33197611207922,39.951417780775145,39.85749217876045,38.67114791234975,38.5360488967831,39.9493246212062,39.86699601559343,38.739208693665844,38.66009579891595,39.971880697594614,39.8484655998413,38.90659061424208,38.73014255055753,40.01010434845393,39.34818550209362,39.40777167889813,38.30625091827504,39.95915220435846,39.5310300474748,38.74713096651138,37.843271255015466,40.01704910634171,39.371074530604176,39.44963246536797,38.436154091222534
34,39.91531141593378,39.86865543975149,38.49286203201139,38.510299992724725,39.88881826466018,39.85939401272661,38.27164102560711,38.33206936745367,39.88601953391394,39.81544742156381,38.23313157111046,38.19588115073537,39.8654181823718,39.85139995528481,38.25571133754663,38.349274609082116,39.890006613388046,39.87608789618065,38.304945357865066,38.39360836744006,39.870082425369105,39.76529140497196,38.57535689188644,38.43251646334909,39.86502864642192,39.74378497554744,38.35151841699291,38.198717413855775,39.904780322605426,39.805204953918974,38.69641599472283,38.56540539410998,39.937221073450196,39.75343575642931,38.57934614286259,38.27493584252844,39.93007298291516,39.77416784189327,38.36971229264786,38.10549582823221,39.93510467385343,39.84111164276588,38.46580830857262,38.31708059657616,39.93460933517255,39.8515266110545,38.52055695218222,38.43141922349061,39.95741892792243,39.83233838521335,38.71171036706366,38.52189383842045,39.99300897105363,39.3251973433386,39.25045061930239,38.10377150012614,39.91342010293742,39.50562755100241,38.572616160130345,37.632414154372384,39.99556138897715,39.3406802737572,39.29834924487925,38.23763168316144
36,39.875914478121985,39.82834553429596,38.14001319211823,38.14520044669831,39.84855516497271,39.81832730070423,37.90288291261668,37.95216406165959,39.84183671593585,39.76940201874184,37.860068960026965,37.81133976658357,39.82607663020171,39.81191503642203,37.89483656300551,37.976908705344556,39.8486115926224,39.834841387891785,37.939609792880944,38.01672340741247,39.868469542950805,39.76801016257822,38.21867665190578,38.066551732256585,39.86506203422971,39.74629010963745,37.97418555218677,37.80827106956737,39.903361099352864,39.808575601026504,38.357304692795864,38.217529304593484,39.90992430837693,39.719643309809236,38.30200359477796,37.98100995904032,39.90127761270683,39.73902554533625,38.068072235226055,37.79437213012819,39.905402710344134,39.80749078452605,38.17445716046372,38.017022243384304,39.90685424310796,39.82059828570424,38.2398837827312,38.14054816517867,39.92808195531705,39.79722258385067,38.42869997703464,38.222778586479336,39.96798878331538,39.28290837656178,38.963451623465886,37.749570648128284,39.89327881551499,39.46194562234034,38.24359111307239,37.24891208087821,39.97035685910122,39.296639497414006,39.006438632865766,37.88440638465934
38,39.84295878212635,39.79376711998033,37.87900230678469,37.87488639130532,39.8190422202626,39.78784721097787,37.64058830276474,37.68066573639284,39.81257151030643,39.7362228830072,37.58492164882699,37.52299029280026,39.79501487801966,39.77960249157769,37.6277294270743,37.70273398177589,39.81556378477226,39.800500092608274,37.67324414838909,37.7438046770212,39.84608588506133,39.742994814710755,37.973965735821054,37.81700551946045,39.84011762120909,39.71785197384871,37.718663438113225,37.546202268075206,39.87661943374674,39.77962138562233,38.12168192897269,37.9757922109296,39.883719431447844,39.689006236233325,38.203563304269196,37.88882088741251,39.87897821124953,39.71210066967579,37.984714616242485,37.709512171467665,39.88249467396048,39.7823461996147,38.09216497138729,37.92872062368816,39.885941317049756,39.79667278964235,38.14385681803141,38.04757842178738,39.905296448011455,39.77233074505247,38.330244076014964,38.13094166090667,39.951677828425524,39.250413483052185,38.824948255669256,37.59707730993527,39.87954516799499,39.432252168853765,38.0910002564096,37.086920661998334,39.95123568070868,39.26036685095259,38.89534229977349,37.751589086216555
40,39.81057707662528,39.75908675418405,37.79777472802955,37.79192455156747,39.7883123166542,39.75498819274544,37.556482866009105,37.59487178047908,39.77395850218167,39.695107772059245,37.485267554435126,37.43181321143241,39.76218824249679,39.74500424646888,37.542045691488696,37.61578700849846,39.78249945471414,39.76596064830409,37.58481480035807,37.65454363550052,39.82039229615782,39.71332835066719,37.792543886005106,37.63079223582993,39.81284485689671,39.686035869555056,37.54062003147457,37.35959092665529,39.85060052280489,39.74940908127732,37.93636457937235,37.787613679938076,39.85781089950066,39.66998644355875,38.13239969804135,37.81527676978979,39.858964277778846,39.69616029223583,37.91813384534892,37.63603496730505,39.85716527484111,39.76018785119147,38.01853386719705,37.860810444800535,39.864832508420534,39.778132247382096,38.079000887353274,37.98020331319713,39.8838679590074,39.75651042126436,38.262442439988334,38.05786090106625,39.945933904706465,39.24748284361411,38.7390037306089,37.47693078335136,39.86799652085281,39.42355490181579,37.966090413676994,36.94130020454047,39.94617399645925,39.25753780743335,38.80441417130947,37.641353043351245
42,39.77286351295656,39.72898395293903,37.68690129947693,37.674081938185964,39.754743297004666,39.72434801324757,37.43823171243563,37.46994559565912,39.739644209659474,39.662680921176744,37.39753939142892,37.316188249300225,39.727007764043094,39.71294019897597,37.42848538931861,37.496510965766205,39.75005284589136,39.73703027827752,37.47081331423382,37.534543646063824,39.742724672280524,39.6220194027768,37.66193343044695,37.485006313118646,39.71309582293517,39.588708838477174,37.3991286257915,37.20154067044745,39.77524177996929,39.661679599216484,37.80692180156863,37.64610457721284,39.73560491480541,39.59819559102942,38.096914482248465,37.763885318917005,39.76806574661913,39.62610532261421,37.8789070242738,37.58358807122637,39.77470787618085,39.695330288881266,37.97615428909798,37.81167447784135,39.796235726027035,39.718741769734336,38.03726371828252,37.931092565485784,39.788422099942075,39.69341721417213,38.22824041442074,38.014465324389455,39.83892353855349,39.146612782151465,38.69822932471297,37.40489106488517,39.656684336217516,39.319545269177645,37.91416821191659,36.86356256308172,39.82785967825221,39.153400196444295,38.766917086317875,37.56872460496989
44,39.755068496199016,39.704453378429584,37.61905293114499,37.60368983291883,39.73297723674915,39.69886000753144,37.362272019836226,37.39266428585228,39.71150437338507,39.6330024903305,37.30052874139385,37.230467278813435,39.705848292976725,39.68848837210871,37.35484659484172,37.42258124240456,39.73124418691883,39.715419332420026,37.39582447103031,37.458770166475496,39.73216058599178,39.61506481212736,37.55784529149226,37.37406012606408,39.72119439740631,39.59235612435718,37.30361382946664,37.096323242083855,39.76722630418392,39.65637322413929,37.70555554020863,37.53575011322508,39.78384346848681,39.588706497266045,38.07980029460861,37.73240867092741,39.785279692200405,39.61515855597692,37.84812177975202,37.54599811565701,39.78342794264972,39.68171346320279,37.954755859689584,37.78257458075679,39.797390457268605,39.70528388336395,38.0097242016097,37.89954805088506,39.81850194713729,39.68598543622596,38.20210553964627,37.98345123510616,39.87619827073837,39.138136454111816,38.66283047378691,37.345887610459265,39.763909159681205,39.32822362648141,37.86885280263338,36.79635150418778,39.874549607628865,39.14949451552606,38.72564233506788,37.51054646741787
